ModuleCode,Venue,Date,StartTime,EndTime
NWEG5155,LR01,2023-10-16,13:00,14:50
PROG6112,CR01,2023-10-16,15:00,16:50
PROG6112,CR01,2023-10-17,13:00,14:50
PRSE6212,LR01,2023-10-17,15:00,16:50
ITPP5112,CR01,2023-10-19,13:00,14:50
NWEG5155,LR01,2023-10-19,15:00,16:50
ITPP5112,CR01,2023-10-23,8:00,9:50
NWEG5155,LR01,2023-10-23,10:00,11:50
PROG6112,CR01,2023-10-24,10:00,11:50
PRSE6212,LR01,2023-10-24,13:00,14:50
PROG6112,CR01,2023-10-25,8:00,9:50
PRSE6212,LR01,2023-10-25,10:00,11:50
NWEG5155,LR01,2023-10-26,13:00,14:50
ITPP5112,CR01,2023-10-26,15:00,16:50
NWEG5155,LR01,2023-10-30,13:00,14:50
PROG6112,CR01,2023-10-30,15:00,16:50
PROG6112,CR01,2023-10-31,13:00,14:50
PRSE6212,LR01,2023-10-31,15:00,16:50
ITPP5112,CR01,2023-11-02,13:00,14:50
NWEG5155,LR01,2023-11-02,15:00,16:50
NWEG5155,LR01,2023-11-06,8:00,9:50
ITPP5112,CR01,2023-11-06,10:00,11:50
PROG6112,CR01,2023-11-07,10:00,11:50
PRSE6212,LR01,2023-11-07,13:00,14:50
PRSE6212,LR01,2023-11-08,13:00,14:50
PROG6112,CR01,2023-11-08,15:00,16:50
PRSE6212,LR01,2023-11-09,10:00,11:50
NWEG5155,LR01,2023-11-09,13:00,14:50
