ModuleCode,Venue,Date,StartTime,EndTime
No Class,No Class,2023-10-16,NA,NA
No Class,No Class,2023-10-16,NA,NA
No Class,No Class,2023-10-17,NA,NA
No Class,No Class,2023-10-17,NA,NA
No Class,No Class,2023-10-18,NA,NA
No Class,No Class,2023-10-18,NA,NA
No Class,No Class,2023-10-19,NA,NA
No Class,No Class,2023-10-19,NA,NA
No Class,No Class,2023-10-23,NA,NA
No Class,No Class,2023-10-23,NA,NA
No Class,No Class,2023-10-24,NA,NA
No Class,No Class,2023-10-24,NA,NA
No Class,No Class,2023-10-26,NA,NA
No Class,No Class,2023-10-26,NA,NA
No Class,No Class,2023-10-30,NA,NA
No Class,No Class,2023-10-30,NA,NA
No Class,No Class,2023-10-31,NA,NA
No Class,No Class,2023-10-31,NA,NA
No Class,No Class,2023-11-01,NA,NA
No Class,No Class,2023-11-01,NA,NA
No Class,No Class,2023-11-02,NA,NA
No Class,No Class,2023-11-02,NA,NA
No Class,No Class,2023-11-03,NA,NA
No Class,No Class,2023-11-03,NA,NA
No Class,No Class,2023-11-06,NA,NA
No Class,No Class,2023-11-06,NA,NA
No Class,No Class,2023-11-07,NA,NA
No Class,No Class,2023-11-07,NA,NA
No Class,No Class,2023-11-08,NA,NA
No Class,No Class,2023-11-08,NA,NA
No Class,No Class,2023-11-09,NA,NA
No Class,No Class,2023-11-09,NA,NA

